Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -44,   12,   22,6.08768, 7320,L,Frontal Inf Oper
    1,  -38,   20,    0,5.84457, 7320,L,Insula
    2,   48,   26,   18,6.27399, 5656,R,Frontal Inf Tri
    2,   46,   32,   -4,3.37757, 5656,R,Frontal Inf Orb 2
    3,    6,   26,   32,5.36687, 3408,R,Cingulate Mid
    3,    0,   24,   52,4.45535, 3408,L,Supp Motor Area
    4,   36,   22,   -4,7.08284, 1928,R,Insula
