Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -44,   12,   22,6.56071, 7504,L,Frontal Inf Oper
    1,  -38,   20,    0,5.77929, 7504,L,Insula
    2,   48,   26,   18,6.20761, 6560,R,Frontal Inf Tri
    2,   48,   18,   42,4.87795, 6560,R,Frontal Mid 2
    2,   46,   32,   -4,3.3289, 6560,R,Frontal Inf Orb 2
    3,    6,   26,   32,5.30734, 3224,R,Cingulate Mid
    3,    0,   24,   52,4.4016, 3224,L,Supp Motor Area
    4,   36,   22,   -4,7.0033, 1856,R,Insula
    5,  -56,   18,    2,4.58064,  896,L,Frontal Inf Tri
