Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -46,    8,   14,5.07829, 5440,L,Frontal Inf Oper
    1,  -46,   28,   28,4.86434, 5440,L,Frontal Inf Tri
    1,  -46,    2,   30,4.17219, 5440,L,Precentral
    2,  -30,   22,   -2,6.47927, 1544,L,Insula
