Cluster,x,y,z,Value,Volume (mm^3),Hemisphere,Label
    1,  -46,    8,   14,5.07904, 6096,L,Frontal Inf Oper
    1,  -46,   28,   28,4.84143, 6096,L,Frontal Inf Tri
    1,  -46,    2,   30,4.14772, 6096,L,Precentral
    2,  -30,   22,   -2,6.44722, 1536,L,Insula
    3,   32,  -72,   38,4.46618,  976,R,Occipital Mid
    4,   34,   24,    0,4.63444,  888,R,Insula
    5,  -42,  -28,   10,4.55123,  832,L,Temporal Sup
